Unnamed: 0,topic,description,keywords,estimated_duration,historical_period,done,audio_generated,cover_image_created,teaser_video_created,images_generated,background_music_added,editing_completed,published,thumbnail
0,Pompeii's Final Night,"A slow, atmospheric narrative exploring the last peaceful night in Pompeii before the eruption of Mount Vesuvius.","Vesuvius, eruption, Roman Empire, Campania, tragedy",120,1st Century CE,1,1,1,0,1,0,1,0,1
1,The Library of Alexandria,The last quiet night before flames consumed one of history's greatest knowledge centers.,"books, scrolls, ancient knowledge, fire, Egypt",120,3rd Century BCE,0,0,0,0,0,0,0,0,0
2,The Fall of Constantinople,A solemn recounting of the final twilight hours inside the walls of a fading empire.,"Byzantine, Ottomans, siege, Hagia Sophia",120,15th Century,0,0,0,0,0,0,0,0,0
3,Cleopatra's Final Night,"A tranquil, shadowy narrative told from the queen's chamber as history closes in.","Ptolemaic, Egypt, Rome, Julius Caesar, asp",120,1st Century BCE,0,0,0,0,0,0,0,0,0
4,The Titanic: Below Deck,A quiet exploration of the ship's lower levels as the passengers above remain unaware of their fate.,"iceberg, ship, class divide, Atlantic, disaster",120,20th Century,0,0,0,0,0,0,0,0,0
5,The Great Fire of London,A peaceful recounting of the city's final quiet moments before the inferno spreads through its streets.,"fire, plague aftermath, wooden buildings, Thames",120,17th Century,0,0,0,0,0,0,0,0,0
6,The Night Before the French Revolution,"A slow, immersive telling of the aristocracy's last lavish evening in Versailles.","monarchy, inequality, aristocrats, Versailles, revolution",120,18th Century,0,0,0,0,0,0,0,0,0
7,The Final Hour of Atlantis,A mythical retelling of the lost city's final twilight beneath the waves.,"mythology, ocean, civilization, lost city, Plato",120,Mythical,0,0,0,0,0,0,0,0,0
8,The Night of the Black Death,A somber narrative of a European village as the plague takes hold during the night.,"plague, medieval Europe, mortality, fear, pandemic",120,14th Century,0,0,0,0,0,0,0,0,0
9,The Hanging Gardens of Babylon,A peaceful exploration of one of the ancient wonders during a quiet evening in the city.,"Babylon, wonder, gardens, ancient Mesopotamia, beauty",120,6th Century BCE,0,0,0,0,0,0,0,0,0
10,The Night Julius Caesar Was Betrayed,The story of Caesar's final evening before the Ides of March brought his assassination.,"assassination, Ides of March, Rome, betrayal, senators",120,1st Century BCE,0,0,0,0,0,0,0,0,0
11,The Trial of Socrates,A contemplative retelling of the philosopher's last night before facing the charges that would lead to his execution.,"philosophy, Athens, trial, hemlock, wisdom",120,5th Century BCE,0,0,0,0,0,0,0,0,0
12,A Night at the Library of Nineveh,A quiet exploration of the great Assyrian library and its countless scrolls before its destruction.,"Assyria, cuneiform, knowledge, destruction, library",120,7th Century BCE,0,0,0,0,0,0,0,0,0
13,The Day Before Hiroshima,"A reflective narrative of the Japanese city on its final day of peace, before the atomic bomb changed everything.","atomic bomb, World War II, Japan, peace, destruction",120,20th Century,0,0,0,0,0,0,0,0,0
14,The Sinking of Venice,A fictional account of the famous city slowly disappearing beneath the rising waters.,"climate change, flooding, Renaissance art, architecture, loss",120,Future Speculation,0,0,0,0,0,0,0,0,0
15,The Night the Berlin Wall Fell,A peaceful retelling of the historic evening when the wall came down and Berlin was reunited.,"Cold War, reunification, freedom, Germany, Berlin",120,20th Century,0,0,0,0,0,0,0,0,0
16,The Fall of the Aztec Empire,A quiet narrative of Tenochtitlan's final night before the Spanish conquest changed everything.,"Aztecs, Cortés, conquest, Tenochtitlan, empire",120,16th Century,0,0,0,0,0,0,0,0,0
17,The Lost Expedition of the Arctic,A quiet exploration of a doomed Arctic expedition as the crew faces their final night in the ice.,"exploration, ice, survival, expedition, Arctic",120,19th Century,0,0,0,0,0,0,0,0,0
18,The Last Day of Anne Frank,A quiet reflection on Anne Frank's final day in her hidden sanctuary.,"Holocaust, diary, hiding, Amsterdam, persecution",120,20th Century,0,0,0,0,0,0,0,0,0
19,The Moon Landing (From Earth's POV),"A unique perspective on the moon landing, told from the viewpoint of those watching from Earth.","space race, Apollo 11, moon, NASA, Armstrong",120,20th Century,0,0,0,0,0,0,0,0,0
20,The Invention of Writing,A slow exploration of the moment when humanity first began to record thoughts in symbols.,"cuneiform, Mesopotamia, communication, symbols, history",120,4th Millennium BCE,0,0,0,0,0,0,0,0,0
21,A Night at Versailles,A lavish exploration of the French court during one of its most extravagant evenings.,"French court, luxury, aristocracy, palace, decadence",120,18th Century,0,0,0,0,0,0,0,0,0
22,The Fall of Troy,A peaceful retelling of the legendary city's final night before the Greeks emerged from their wooden horse.,"Trojan War, Homer, wooden horse, siege, Troy",120,Bronze Age,0,0,0,0,0,0,0,0,0
23,The Temple of Artemis at Night,A mystical exploration of one of the Seven Wonders during a sacred evening ritual.,"Seven Wonders, Artemis, temple, Ephesus, ancient Greece",120,6th Century BCE,0,0,0,0,0,0,0,0,0
24,Galileo's Trial,A contemplative narrative of the astronomer's trial and its implications for science and faith.,"Galileo, Inquisition, telescope, heliocentrism, trial",120,17th Century,0,0,0,0,0,0,0,0,0
25,The First Olympic Night,A celebration of the first Olympic Games and the athletes who competed in ancient Greece.,"Olympics, ancient Greece, athletes, competition, torch",120,8th Century BCE,0,0,0,0,0,0,0,0,0
26,The Birth of the Silk Road,A journey along the ancient trade route as merchants establish the connections that would change the world.,"Silk Road, trade, merchants, China, commerce",120,2nd Century BCE,0,0,0,0,0,0,0,0,0
